№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
1745	340	ул.Гагарина-136	136	06295217	2002	11.01 02:56	00013764	13764	****	****	****	****	****	****	****	****	194
1746	555	ул.Терешковой-29	29	21977346	2002	11.01 02:53	00005188	5188	****	****	****	****	****	****	****	****	194
1747	349	ул.Терешковой-25а	25а	07003023	2002	11.01 02:54	00006622	6622	****	****	****	****	****	****	****	****	194
1748	360	ул.Терешковой-25	25	07022773	2002	11.01 02:54	00010849	10849	****	****	****	****	****	****	****	****	194
1749	363	ул.Терешковой-31	31	07022752	2002	11.01 02:54	00011094	11094	****	****	****	****	****	****	****	****	194
1750	367	ул.Терешковой-27	27	06277327	2002	11.01 02:54	00008332	8332	****	****	****	****	****	****	****	****	194
1751	348	ул.Терешковой-21	21	07000187	2001	11.01 03:19	00013368	13368	****	****	****	****	****	****	****	****	195
1752	353	ул.Терешковой-23	23	06277846	2001	11.01 03:14	00008332	8332	****	****	****	****	****	****	****	****	195
1753	369	пр.Ленина-99	99	06277308	2003	11.01 03:28	00009292	9292	****	****	****	****	****	****	****	****	195
1754	338	ул.Терешковой-19	19	06294861	2003	11.01 03:31	00005436	5436	****	****	****	****	****	****	****	****	195
1755	351	ул.Терешковой-25а	25а	07002973	2002	****	****	0	****	****	****	****	****	****	****	****	195
1756	10	ул.Космическая-1а	1а	07020131	2001	11.01 03:55	00010084	10084	****	****	****	****	****	****	****	****	196
1757	682	ул.Космическая-3	3	06277885	2002	11.01 03:10	00006122	6122	****	****	****	****	****	****	****	****	196
1758	683	ул. Базовая, 18а	18а	06277674	2002	07.01 10:20	00007458	7458	****	****	****	****	****	****	****	****	196
1759	688	ул.Космическая-1	1	06277645	2003	11.01 03:15	00004388	4388	****	****	****	****	****	****	****	****	196
1760	691	ул.Патриотов-8	8	07000669	2001	10.01 02:49	00008939	8939	****	****	****	****	****	****	****	****	197
1761	693	ул.Патриотов-10	10	07003827	2001	10.01 02:50	00007425	7425	****	****	****	****	****	****	****	****	197
1762	694	ул.Патриотов-4	4	07003869	2001	10.01 02:52	00014291	14291	****	****	****	****	****	****	****	****	197
1763	101	ул. Патриотов	8	01894068	2001	10.01 02:53	00010815	10815	****	****	****	****	****	****	****	****	197
1764	689	ул.Патриотов-2	2	07003483	2002	10.01 02:56	00006212	6212	****	****	****	****	****	****	****	****	197
1765	2	ул. Космическая	1Б	06263435	2003	10.01 02:53	00012333	12333	****	****	****	****	****	****	****	****	197
1766	694	ул.Чкалова-11	11	06207450	2001	****	****	0	****	****	****	****	****	****	****	****	201
1767	698	пр.Ленина-12	12	06208171	2001	****	****	0	****	****	****	****	****	****	****	****	201
1768	697	ул.Рукавишникова-24	24	06208009	2001	****	****	0	****	****	****	****	****	****	****	****	201
1769	15	ул.Володарского-5	5	03377042	2001	****	****	0	****	****	****	****	****	****	****	****	201
1770	708	пр.Ленина-8	8	04451117	2001	****	****	0	****	****	****	****	****	****	****	****	201
1771	691	ул.Рукавишникова-16	16	06207223	2002	****	****	0	****	****	****	****	****	****	****	****	201
1772	25	пр.Ленина-10	10	03370790	2002	****	****	0	****	****	****	****	****	****	****	****	201
1773	10	ул.Рукавишникова-30	30	01776167	2003	****	****	0	****	****	****	****	****	****	****	****	201
1774	787	Жуковского 3	3	06239429	2003	****	****	0	****	****	****	****	****	****	****	****	201
1775	481	пр. Ленина	8	03385213	2003	****	****	0	****	****	****	****	****	****	****	****	201
1776	359	ул.Гагарина-132	132	07021589	2002	11.01 02:36	00005831	5831	****	****	****	****	****	****	****	****	202
1777	355	ул.Тухачевского-14	14	07022723	2002	11.01 03:04	00009504	9504	****	****	****	****	****	****	****	****	202
1778	357	ул.Тухачевского-14а	14а	07021587	2002	11.01 02:56	00007661	7661	****	****	****	****	****	****	****	****	202
1779	362	ул.Гагарина-128	128	07022739	2003	11.01 03:07	00006478	6478	****	****	****	****	****	****	****	****	202
1780	364	ул.Гагарина-130	130	06232448	2003	11.01 03:16	00010692	10692	****	****	****	****	****	****	****	****	202
1781	365	ул.Тухачевского-16	16	06232479	2003	11.01 03:10	00005328	5328	****	****	****	****	****	****	****	****	202
1782	352	ул.Тухачевского-12	12	06294962	2003	11.01 03:06	00010662	10662	****	****	****	****	****	****	****	****	202
1783	10	Парк Волошиной	0	25440904	2001	11.01 03:00	00002849	2849	****	****	****	****	****	****	****	****	202
1784	366	ул.Тухаческого-4	4	06277296	2002	11.01 02:58	00009710	9710	****	****	****	****	****	****	****	****	203
1785	240	пр.Ленина-95	95	03372352	2003	11.01 03:10	00007372	7372	****	****	****	****	****	****	****	****	203
1786	344	ул.Тухачевского-2	2	07000163	2003	11.01 03:01	00011261	11261	****	****	****	****	****	****	****	****	203
1787	350	пр.Ленина-97	97	06294949	2003	11.01 03:02	00004255	4255	****	****	****	****	****	****	****	****	203
1788	368	ул.Тухачевского-8	8	06257993	2003	11.01 02:59	00008205	8205	****	****	****	****	****	****	****	****	203
1789	147	ул.Красная-13	13	06277574	2003	11.01 03:13	00011698	11698	****	****	****	****	****	****	****	****	204
1790	150	ул.Томская 5	5	07062985	2003	11.01 03:03	00019333	19333	****	****	****	****	****	****	****	****	204
1791	146	ул.Красноармейская-138	138	06283206	2003	11.01 03:13	00013489	13489	****	****	****	****	****	****	****	****	204
1792	145	ул.Красная-15	15	06283200	2001	11.01 02:48	00005174	5174	****	****	****	****	****	****	****	****	204
1793	32	ул.Томская-5а	5а	18736903	2001	11.01 02:49	00016165	16165	****	****	****	****	****	****	****	****	204
1794	660	ул.Красноармейская-134а	134а	07952325	2001	11.01 03:00	00008976	8976	****	****	****	****	****	****	****	****	204
1795	1	ул.Томская	5а	06298745	2002	11.01 01:56	00009166	9166	****	****	****	****	****	****	****	****	204
1796	263	ул.Гагарина-122	122	06277252	2001	****	****	0	****	****	****	****	****	****	****	****	205
1797	555	Шорникова	7	21977303	2001	****	****	0	****	****	****	****	****	****	****	****	205
1798	262	ул.Гагарина-120	120	06277287	2002	****	****	0	****	****	****	****	****	****	****	****	205
1799	281	ул.Шорникова-15	15	06283188	2002	****	****	0	****	****	****	****	****	****	****	****	205
1800	777	Шорникова	7	21977309	2002	****	****	0	****	****	****	****	****	****	****	****	205
1801	1	ул. Гагарина	118	10178578	2002	****	****	0	****	****	****	****	****	****	****	****	205
1802	2	ул. Гагарина	118	10178564	2002	****	****	0	****	****	****	****	****	****	****	****	205
1803	17	ул.Шорникова-13	13	03372788	2003	****	****	0	****	****	****	****	****	****	****	****	205
1804	283	ул.Шорникова-11	11	06283203	2003	****	****	0	****	****	****	****	****	****	****	****	205
1805	15	Шорникова	13	27771280	2003	****	****	0	****	****	****	****	****	****	****	****	205
1806	32	Гагарина м Сова	122	09195855	2003	****	****	0	****	****	****	****	****	****	****	****	205
1807	269	пр.Ленина-87	87	06277836	2002	11.01 02:07	00006305	6305	****	****	****	****	****	****	****	****	206
1808	280	ул.9-е Января-2б	2б	06283319	2002	11.01 01:59	00005352	5352	****	****	****	****	****	****	****	****	206
1809	1	пр. Ленина	87а	04423199	2002	11.01 02:08	00001886	1886	****	****	****	****	****	****	****	****	206
1810	40	ул. 9-е Января	4а	18846021	2002	11.01 02:07	00000126	126	****	****	****	****	****	****	****	****	206
1811	2	ул. 9 Января	2	27183993	2002	11.01 02:07	00000875	875	****	****	****	****	****	****	****	****	206
1812	266	ул.9-е Января-2	2	06283205	2003	11.01 04:54	00007729	7729	****	****	****	****	****	****	****	****	206
1813	267	ул.9 Января-2а	2а	06283330	2003	11.01 04:55	00008211	8211	****	****	****	****	****	****	****	****	206
1814	268	ул.9-е Января-4	4	06283334	2003	11.01 04:45	00005370	5370	****	****	****	****	****	****	****	****	206
1815	278	ул.9 Января-4а	4а	06283343	2003	11.01 04:52	00014709	14709	****	****	****	****	****	****	****	****	206
1816	672	ул.9 Января киоск фрукты		06505618	2003	11.01 04:54	00003548	3548	****	****	****	****	****	****	****	****	206
1817	10	ул.9 Января киоск цветы		18467727	2003	11.01 04:52	00008050	8050	****	****	****	****	****	****	****	****	206
1818	37	ул. 9-е Января	2а	03378992	2001	11.01 03:23	00001126	1126	****	****	****	****	****	****	****	****	206
1819	261	ул.9 Января-10	10	06283060	2002	11.01 03:02	00007386	7386	****	****	****	****	****	****	****	****	213
1820	270	ул.9 Января-6а	6а	06283339	2002	11.01 03:07	00013551	13551	****	****	****	****	****	****	****	****	213
1821	272	ул.Гагарина-114	114	06283213	2002	11.01 03:00	00011014	11014	****	****	****	****	****	****	****	****	213
1822	274	ул.Гагарина-116	116	06283013	2002	11.01 03:07	00010459	10459	****	****	****	****	****	****	****	****	213
1823	71	ул.9 Января	6	09268266	2002	11.01 03:08	00011684	11684	****	****	****	****	****	****	****	****	213
1824	271	ул.9 Января-6	6	06283012	2003	11.01 03:09	00007800	7800	****	****	****	****	****	****	****	****	213
1825	273	ул.9-е Января-8	8	06277842	2003	11.01 03:09	00007375	7375	****	****	****	****	****	****	****	****	213
1826	279	ул.9 Января-12	12	06283181	2003	11.01 03:16	00011208	11208	****	****	****	****	****	****	****	****	213
1827	20	9 Января	6	15644029	2001	11.01 03:11	00026463	26463	****	****	****	****	****	****	****	****	213
1828	35	ул.9 Января	8	18467611	2001	11.01 03:14	00001096	1096	****	****	****	****	****	****	****	****	213
1829	29	Тухачевского общий ТП	34	06263462	2003	11.01 03:12	00007219	7219	****	****	****	****	****	****	****	****	214
1830	505	Железнякова	18	06244825	2003	11.01 03:10	00006542	6542	****	****	****	****	****	****	****	****	214
1831	786	ул.Мирная-19	19	07932080	2003	11.01 03:13	00009526	9526	****	****	****	****	****	****	****	****	214
1832	792	ул.Тухачевского-34	34	07931602	2003	11.01 03:18	00005152	5152	****	****	****	****	****	****	****	****	214
1833	735	ул.Тухачевского-30	30	07952262	2002	11.01 01:46	00010101	10101	****	****	****	****	****	****	****	****	214
1834	788	ул.Тухачевского	34	07944211	2002	11.01 01:42	00013416	13416	****	****	****	****	****	****	****	****	214
1835	764	ул.Рукавишникова-1	1	06242947	2001	11.01 03:06	00008889	8889	****	****	****	****	****	****	****	****	217
1836	1	ул. Рукавишникова	5	15629048	2001	11.01 03:01	00001381	1381	****	****	****	****	****	****	****	****	217
1837	762	ул.Рукавишникова-3	3	06242987	2003	11.01 03:25	00005239	5239	****	****	****	****	****	****	****	****	217
1838	778	ул.Рукавишникова-7	7	06239590	2003	11.01 03:23	00010225	10225	****	****	****	****	****	****	****	****	217
1839	729	ул. Рукавишникова	5	07952659	2003	11.01 03:20	00004409	4409	****	****	****	****	****	****	****	****	217
1840	856	ул.Красноармейская-118	118	06221485	2001	****	****	0	****	****	****	****	****	****	****	****	221
1841	860	ул.Красноармейская-116	116	06232394	2001	****	****	0	****	****	****	****	****	****	****	****	221
1842	881	Красноармейская114 клуб ветеранов		06232417	2001	****	****	0	****	****	****	****	****	****	****	****	221
1843	855	ул.Красноармейская-114	114	06232428	2002	****	****	0	****	****	****	****	****	****	****	****	221
1844	859	Красноарм.-112	112	06221491	2003	****	****	0	****	****	****	****	****	****	****	****	221
1845	10	Красноармейская	114	18467946	2003	****	****	0	****	****	****	****	****	****	****	****	221
1846	10	Автомастерская	0	16845349	2001	31.01 23:57	00017977	17977	****	****	****	****	****	****	****	****	222
1847	555	ул.Потемкина 200/5Сушилка	5	21974314	2001	11.01 02:43	00002185	2185	****	****	****	****	****	****	****	****	222
1848	230	ул.Потемкина-7	7	03372287	2002	11.01 02:49	00001672	1672	****	****	****	****	****	****	****	****	222
1849	336	ул.Потемкина-1	1	06243175	2002	11.01 02:52	00008500	8500	****	****	****	****	****	****	****	****	222
1850	231	ул.Потемкина-7	7	03372578	2003	11.01 02:49	00010345	10345	****	****	****	****	****	****	****	****	222
1851	220	ул.40 лет Октября-20	20	07021771	2001	11.01 02:27	00018241	18241	****	****	****	****	****	****	****	****	223
1852	777	40 лет Октября	20	18846263	2001	****	****	0	****	****	****	****	****	****	****	****	223
1853	214	ул.40 лет Октября-8	8	07021736	2002	07.01 03:08	00006338	6338	****	****	****	****	****	****	****	****	224
1854	221	ул.40 лет Октября-10	10	07023003	2002	07.01 03:05	00011716	11716	****	****	****	****	****	****	****	****	224
1855	215	ул.Севастопольская-3	3	07021726	2003	07.01 03:45	00012446	12446	****	****	****	****	****	****	****	****	224
1856	216	ул.40 лет Октября-10	10	07021769	2003	07.01 03:51	00007350	7350	****	****	****	****	****	****	****	****	224
1857	219	ул.Севастопольская-5	5	07021731	2003	07.01 03:51	00016802	16802	****	****	****	****	****	****	****	****	224
1858	330	ул.Матросова	3	06263476	2001	11.01 03:19	00007912	7912	****	****	****	****	****	****	****	****	225
1859	329	ул.Потемкина	2	06243027	2002	10.01 23:55	00009322	9322	****	****	****	****	****	****	****	****	225
1860	333	Севастопольская	1	06243038	2002	11.01 00:04	00009880	9880	****	****	****	****	****	****	****	****	225
1861	332	ул.Потемкина	4	06243037	2002	10.01 14:24	00009965	9965	****	****	****	****	****	****	****	****	225
1862	331	ул.Матросова	5	06243079	2003	10.01 22:59	00008519	8519	****	****	****	****	****	****	****	****	225
1863	328	ул.Матросова	1	06244870	2003	10.01 23:54	00007492	7492	****	****	****	****	****	****	****	****	225
1864	335	ул.Назарова	4	06244340	2003	10.01 23:57	00006509	6509	****	****	****	****	****	****	****	****	225
1865	205	ул.Ушакова-3	3	07021724	2002	11.01 03:12	00007065	7065	****	****	****	****	****	****	****	****	226
1866	211	ул.Севастопольская-4	4	07021737	2002	11.01 03:10	00005315	5315	****	****	****	****	****	****	****	****	226
1867	223	ул.Севастопольская-2	2	07021730	2002	11.01 03:08	00008815	8815	****	****	****	****	****	****	****	****	226
1868	707	ул.Севастопольская-2	2	07003593	2002	11.01 03:07	00007723	7723	****	****	****	****	****	****	****	****	226
1869	204	пер.Ушакова-2	2	07021729	2002	11.01 01:21	00013592	13592	****	****	****	****	****	****	****	****	227
1870	217	ул.Севастопольская-6	6	07021752	2002	11.01 01:21	00010893	10893	****	****	****	****	****	****	****	****	227
1871	218	ул.Севастопольская-6	6	07022605	2002	11.01 01:26	00018778	18778	****	****	****	****	****	****	****	****	227
1872	222	ул.40 лет Октября-20	20	07021732	2002	11.01 01:20	00010323	10323	****	****	****	****	****	****	****	****	228
1873	209	ул.Ушакова-1	1	07019973	2003	11.01 03:39	00013686	13686	****	****	****	****	****	****	****	****	228
1874	212	ул.Ушакова-5	5	07021733	2003	11.01 03:28	00014074	14074	****	****	****	****	****	****	****	****	228
1875	2	ул. Ушакова	2	22006902	2003	11.01 03:33	00006200	6200	****	****	****	****	****	****	****	****	228
1876	1	ул. Ушакова	2	25502500	2003	11.01 03:36	00002599	2599	****	****	****	****	****	****	****	****	228
1877	619	40 лет Октября	17	06209312	2002	10.01 21:41	00008260	8260	****	****	****	****	****	****	****	****	229
1878	213	40 лет Октября	15	07022610	2003	10.01 21:26	00011712	11712	****	****	****	****	****	****	****	****	229
1879	3	ул.40 лет Октября	17а	06239604	2001	10.01 23:19	00003813	3813	****	****	****	****	****	****	****	****	229
1880	626	пр.Ленина-57	57	06277532	2002	01.01 23:30	00006618	6618	****	****	****	****	****	****	****	****	23 №2
1881	78	Ленина Автокласс	57	03370767	2002	01.01 23:37	00022131	22131	****	****	****	****	****	****	****	****	23 №2
1882	629	пр.Ленина-57	57	06277531	2003	02.01 00:14	00006901	6901	****	****	****	****	****	****	****	****	23 №2
1883	2	ул.Мичурина-56а	56а	02577168	2001	02.01 00:04	00001454	1454	****	****	****	****	****	****	****	****	23 №2
1884	7	ул.Мичурина-56а	56а	02577169	2001	02.01 00:04	00003550	3550	****	****	****	****	****	****	****	****	23 №2
1885	1	ул.Мичурина-56а	56а	02573602	2001	01.01 23:30	00008128	8128	****	****	****	****	****	****	****	****	23 №2
1886	3	ул.Мичурина-56а	56а	02577140	2001	02.01 00:00	00005687	5687	****	****	****	****	****	****	****	****	23 №2
1887	5	ул.Мичурина-56а	56а	02573358	2001	01.01 23:53	00009241	9241	****	****	****	****	****	****	****	****	23 №2
1888	6	ул.Мичурина-56а	56а	02573629	2001	02.01 00:04	00009120	9120	****	****	****	****	****	****	****	****	23 №2
1889	8	ул.Мичурина-56а	56а	02573576	2001	01.01 23:53	00003919	3919	****	****	****	****	****	****	****	****	23 №2
1890	237	40 лет Октября	3	06283345	2001	07.01 00:29	00002040	2040	****	****	****	****	****	****	****	****	230
1891	191	ул.40 лет Октября-5а	5а	06283307	2002	09.01 07:53	00005540	5540	****	****	****	****	****	****	****	****	230
1892	242	ул.40 лет Октября-5	5	06277643	2002	09.01 07:45	00011277	11277	****	****	****	****	****	****	****	****	230
1893	177	ул.40 лет Октября-5б	5б	06277328	2003	11.01 02:58	00002176	2176	****	****	****	****	****	****	****	****	230
1894	208	ул.Инициативная	1а	07022702	2003	11.01 03:07	00011568	11568	****	****	****	****	****	****	****	****	231
1895	690	ул.Инициативная	1б	07003907	2003	11.01 03:02	00009352	9352	****	****	****	****	****	****	****	****	231
1896	209	ул.Инициативная	1	06277797	2002	11.01 03:06	00010144	10144	****	****	****	****	****	****	****	****	231
1897	210	ул.40 лет Октября	1а	07021748	2002	11.01 03:14	00007935	7935	****	****	****	****	****	****	****	****	231
1898	33	ул. Инициативная	16	00645165	2001	****	****	0	****	****	****	****	****	****	****	****	232
1899	248	ул.Инициативная,19	19	06277313	2003	****	****	0	****	****	****	****	****	****	****	****	232
1900	247	ул.Инициативная 17	17	06277302	2003	****	****	0	****	****	****	****	****	****	****	****	232
1901	190	ул.Инициативная-10	10	07003796	2003	****	****	0	****	****	****	****	****	****	****	****	232
1902	226	Инициативная	12	07021511	2002	****	****	0	****	****	****	****	****	****	****	****	232
1903	227	ул.Инициативная-10а	10а	07021426	2002	****	****	0	****	****	****	****	****	****	****	****	232
1904	245	ул.Инициативная-20	20	06283227	2002	****	****	0	****	****	****	****	****	****	****	****	232
1905	444	ул.Инициативная	18	16835096	2002	****	****	0	****	****	****	****	****	****	****	****	232
1906	555	Инициативная	18	16845171	2002	****	****	0	****	****	****	****	****	****	****	****	232
1907	167	ул.Инициативная-23	23	07003246	2002	****	****	0	****	****	****	****	****	****	****	****	234
1908	171	ул.Черемховская-4	4	07003190	2002	****	****	0	****	****	****	****	****	****	****	****	234
1909	173	ул.Инициативная-21	21	07000684	2002	****	****	0	****	****	****	****	****	****	****	****	234
1910	175	ул.Инициативная-21	21	07003214	2002	****	****	0	****	****	****	****	****	****	****	****	234
1911	185	ул.Аллейная-2	2	07003972	2002	****	****	0	****	****	****	****	****	****	****	****	234
1912	186	ул.Аллейная-2	2	07003925	2002	****	****	0	****	****	****	****	****	****	****	****	234
1913	188	ул.Инициативная-25	25	07003973	2002	****	****	0	****	****	****	****	****	****	****	****	234
1914	192	ул.Инициативная-27а	27а	07003329	2002	****	****	0	****	****	****	****	****	****	****	****	234
1915	5	черемховского	2	10159538	2003	****	****	0	****	****	****	****	****	****	****	****	234
1916	149	ул.Александрова-15а	15а	07019940	2002	11.01 03:03	00013225	13225	****	****	****	****	****	****	****	****	236
1917	148	ул.Александрова-13а	13а	07019946	2003	11.01 03:31	00006273	6273	****	****	****	****	****	****	****	****	236
1918	150	ул.Тайгинская-9	9	07019933	2003	11.01 03:30	00008183	8183	****	****	****	****	****	****	****	****	236
1919	168	ул.Александрова-11	11	07003784	2003	11.01 03:29	00011767	11767	****	****	****	****	****	****	****	****	236
1920	169	ул.Инициативная-28а	28а	06295192	2003	11.01 03:24	00009147	9147	****	****	****	****	****	****	****	****	236
1921	742	ул.Александрова-15	15	07000351	2003	11.01 03:23	00008684	8684	****	****	****	****	****	****	****	****	236
1922	733	ул.Александрова-17	17	07000164	2003	11.01 03:29	00005922	5922	****	****	****	****	****	****	****	****	236
1923	966	ул.Инициативная-32	32	07022653	2001	11.01 03:02	00011234	11234	****	****	****	****	****	****	****	****	237
1924	933	ул.Рекордная-17а	17а	06221460	2001	****	****	0	****	****	****	****	****	****	****	****	239
1925	626	ул.Леонова-18	18	05378236	2001	11.01 01:22	00006825	6825	****	****	****	****	****	****	****	****	239
1926	621	ул.Рекордная-21	21	05378260	2001	11.01 01:23	00011621	11621	****	****	****	****	****	****	****	****	239
1927	624	ул.Леонова-16	16	05378482	2001	11.01 01:24	00007681	7681	****	****	****	****	****	****	****	****	239
1928	1	Рекордная	19	13199446	2001	11.01 01:24	00009853	9853	****	****	****	****	****	****	****	****	239
1929	2	Рекордная	19	13195799	2001	11.01 01:24	00010576	10576	****	****	****	****	****	****	****	****	239
1930	3	Рекордная	19	13145975	2001	11.01 01:16	00022610	22610	****	****	****	****	****	****	****	****	239
1931	686	ул.Александрова-5	5	07952295	2002	11.01 03:04	00013580	13580	****	****	****	****	****	****	****	****	239
1932	555	Рекордная	15	17496536	2002	11.01 03:13	00012690	12690	****	****	****	****	****	****	****	****	239
1933	623	ул.Леонова-14	14	05378512	2003	11.01 03:34	00008690	8690	****	****	****	****	****	****	****	****	239
1934	694	Леонова	16а	07952528	2003	11.01 03:32	00010746	10746	****	****	****	****	****	****	****	****	239
1935	675	ул.Рекордная-4	4	07041178	2001	11.01 01:56	00010407	10407	****	****	****	****	****	****	****	****	240
1936	673	ул.Рекордная-10	10	07041139	2001	11.01 01:51	00009088	9088	****	****	****	****	****	****	****	****	240
1937	612	ул.Рекордная-12	12	07041056	2001	05.01 18:59	00009154	9154	****	****	****	****	****	****	****	****	240
1938	660	пер.Рекордный-3	3	07021792	2001	11.01 03:28	00006533	6533	****	****	****	****	****	****	****	****	240
1939	680	ул.Рекордная-2	2	07022911	2001	07.01 11:30	00009093	9093	****	****	****	****	****	****	****	****	240
1940	22	Рекордная	16	03385543	2001	05.01 08:51	00015975	15975	****	****	****	****	****	****	****	****	240
1941	665	пер.Рекордный-2	2	07021779	2003	11.01 03:39	00009343	9343	****	****	****	****	****	****	****	****	240
1942	670	ул.Рекордная-6	6	07022863	2003	11.01 03:34	00007078	7078	****	****	****	****	****	****	****	****	240
1943	661	пер.Рекордный	4	13186086	2003	11.01 03:36	00008929	8929	****	****	****	****	****	****	****	****	240
1944	669	ул.Рекордная-14	14	07041168	2003	11.01 02:46	00001824	1824	****	****	****	****	****	****	****	****	240
1945	77	Рекордная	27а	07000143	2001	11.01 04:04	00012378	12378	****	****	****	****	****	****	****	****	241
1946	2	ул. Леонова	22б	7041184	2001	11.01 04:12	00006421	6421	****	****	****	****	****	****	****	****	241
1947	1	ул. Леонова	22б	7041125	2001	11.01 04:02	00004422	4422	****	****	****	****	****	****	****	****	241
1948	75	ул.Рекордная-27а	27а	06277540	2003	11.01 02:55	00014929	14929	****	****	****	****	****	****	****	****	241
1949	96	ул.Рекордная-30	30	07020145	2003	11.01 03:02	00006184	6184	****	****	****	****	****	****	****	****	241
1950	231	Александрова	2	06283189	2003	11.01 02:59	00001480	1480	****	****	****	****	****	****	****	****	241
1951	403	Александрова авр	8	13108290	2003	11.01 03:03	00003070	3070	****	****	****	****	****	****	****	****	241
1952	405	Александрова	8	15622588	2003	11.01 02:56	00003108	3108	****	****	****	****	****	****	****	****	241
1953	555	Александрова	2	06242859	2003	11.01 02:56	00012413	12413	****	****	****	****	****	****	****	****	241
1954	777	Александрова	2	06258680	2003	11.01 02:58	00013523	13523	****	****	****	****	****	****	****	****	241
1955	888	Александрова	2	06258645	2003	11.01 03:02	00006917	6917	****	****	****	****	****	****	****	****	241
1956	13	Александрова	8	00639864	2003	11.01 02:58	00005291	5291	****	****	****	****	****	****	****	****	241
1957	89	Александрова	6а	07003121	2002	****	****	0	****	****	****	****	****	****	****	****	241
1958	3	Карбышева	4	04415910	2002	11.01 03:55	00042395	42395	****	****	****	****	****	****	****	****	25
1959	7	Карбышева	3	04410258	2002	11.01 00:57	00025427	25427	****	****	****	****	****	****	****	****	25
1960	22	Ленина	11	04415992	2002	11.01 03:37	00020964	20964	****	****	****	****	****	****	****	****	25
1961	1	Ленина	7	04415980	2002	09.01 15:34	00030386	30386	****	****	****	****	****	****	****	****	25
1962	2	Ленина	5	04409865	2002	01.01 11:22	00029013	29013	****	****	****	****	****	****	****	****	25
1963	123	Ленина	8	04450370	2001	11.01 03:25	00058641	58641	****	****	****	****	****	****	****	****	25
1964	27	Ленина	1	04415970	2001	10.01 18:01	00043257	43257	****	****	****	****	****	****	****	****	25
1965	23	Ленина	9	04415912	2001	11.01 03:17	00029673	29673	****	****	****	****	****	****	****	****	25
1966	81	Карбышева	5	03375529	2001	11.01 03:22	00004046	4046	****	****	****	****	****	****	****	****	25
1967	28	Ленина	2А	04409829	2001	11.01 03:19	00027449	27449	****	****	****	****	****	****	****	****	25
1968	61	Ленина	4	11120429	2001	11.01 03:08	00041015	41015	****	****	****	****	****	****	****	****	25
1969	13	Фрунзе	1	01185245	2001	11.01 03:26	00029625	29625	****	****	****	****	****	****	****	****	25
1970	300	Карбышева	8	09284038	2001	11.01 03:26	00010998	10998	****	****	****	****	****	****	****	****	25
1971	24	Ленина	2	04415931	2003	11.01 04:54	00046334	46334	****	****	****	****	****	****	****	****	25
1972	16	Ленина	3	04409866	2003	11.01 04:56	00045992	45992	****	****	****	****	****	****	****	****	25
1973	45	Ленина	6	04415979	2003	11.01 05:00	00025114	25114	****	****	****	****	****	****	****	****	25
1974	32	Ленина	12	03377136	2003	11.01 04:58	00035704	35704	****	****	****	****	****	****	****	****	25
1975	127	Ленина	10	04450417	2003	11.01 05:05	00050617	50617	****	****	****	****	****	****	****	****	25
1976	125	Карбышева	6	04450343	2003	11.01 04:48	00046632	46632	****	****	****	****	****	****	****	****	25
1977	98	Ленина маг Калина	14	10159898	2003	11.01 04:54	00007776	7776	****	****	****	****	****	****	****	****	25
1978	94	ул.Александрова-16	16	07000649	2001	****	****	0	****	****	****	****	****	****	****	****	252
1979	105	ул.Гурьевская-15	15	07021487	2002	****	****	0	****	****	****	****	****	****	****	****	252
1980	91	ул.Гурьевская-14	14	07000929	2003	****	****	0	****	****	****	****	****	****	****	****	252
1981	92	ул.Гурьевская-15	15	07003081	2003	****	****	0	****	****	****	****	****	****	****	****	252
1982	100	ул.Инициативная-50а	50а	07021653	2003	****	****	0	****	****	****	****	****	****	****	****	253
1983	549	ул.Инициативная-48а	48а	06232354	2003	****	****	0	****	****	****	****	****	****	****	****	253
1984	658	ул.Леонова-19	19	07021585	2003	****	****	0	****	****	****	****	****	****	****	****	253
1985	720	ул.Инициативная-48а	48а	06225726	2003	****	****	0	****	****	****	****	****	****	****	****	253
1986	791	ул.Гурьевская-17	17	06242835	2003	****	****	0	****	****	****	****	****	****	****	****	253
1987	931	Леонова	19	06232435	2001	****	****	0	****	****	****	****	****	****	****	****	253
1988	215	ул.Инициативная-66	66	06283208	2001	****	****	0	****	****	****	****	****	****	****	****	254
1989	20	ул.Рекордная-33	33	07021761	2001	****	****	0	****	****	****	****	****	****	****	****	254
1990	239	ул.Инициативная-64	64	06283288	2002	****	****	0	****	****	****	****	****	****	****	****	254
1991	106	ул.Рекордная-33а	33а	07021562	2002	****	****	0	****	****	****	****	****	****	****	****	254
1992	112	Леонова	24	07021772	2002	****	****	0	****	****	****	****	****	****	****	****	254
1993	113	ул.Рекордная-31а	31а	07021713	2002	****	****	0	****	****	****	****	****	****	****	****	254
1994	214	ул.Инициативная-62	62	06283318	2002	****	****	0	****	****	****	****	****	****	****	****	254
1995	216	ул.Рекордная-47	47	06283326	2003	****	****	0	****	****	****	****	****	****	****	****	254
1996	109	ул.Рекордная-33а	33а	07022551	2003	****	****	0	****	****	****	****	****	****	****	****	254
1997	111	ул.Рекордная-27	27	07021759	2003	****	****	0	****	****	****	****	****	****	****	****	254
