№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
55	851	ул. Авроры	4А	09274562	2002	11.01 02:21	00007799	7799	****	****	****	****	****	****	****	****	1013
56	683	пр.Шахтеров 95	95	07952523	2003	****	****	0	****	****	****	****	****	****	****	****	1014
57	691	пр.Шахтеров-95	95	07953000	2003	****	****	0	****	****	****	****	****	****	****	****	1014
58	895	ул.Авроры-6	6	06221536	2003	****	****	0	****	****	****	****	****	****	****	****	1014
59	896	ул.Авроры-6	6	06221550	2003	****	****	0	****	****	****	****	****	****	****	****	1014
60	897	ул.Авроры-6	6	06232349	2003	****	****	0	****	****	****	****	****	****	****	****	1014
61	10	пр.Шахтеров-97	97	00591552	2001	11.01 03:31	00012461	12461	****	****	****	****	****	****	****	****	1015
62	11	пр.Шахтеров-97	97	00591823	2001	11.01 03:29	00002702	2702	****	****	****	****	****	****	****	****	1015
63	12	пр.Шахтеров-97	97	00591555	2001	11.01 03:28	00004100	4100	****	****	****	****	****	****	****	****	1015
64	13	пр.Шахтеров-97	97	00621912	2001	11.01 03:32	00005508	5508	****	****	****	****	****	****	****	****	1015
65	106	пр.Шахтеров-99	99	10159964	2001	11.01 03:34	00009247	9247	****	****	****	****	****	****	****	****	1015
66	1	пр.Шахтеров-99	99	00591797	2001	11.01 03:32	00005562	5562	****	****	****	****	****	****	****	****	1015
67	7	пр.Шахтеров-99	99	01045418	2001	10.01 18:54	00011176	11176	****	****	****	****	****	****	****	****	1015
68	6	Предзаводская,6а	6а	01125907	2001	11.01 03:36	00038226	38226	****	****	****	****	****	****	****	****	1015
69	4	Шахтеров 99  Ввод 2 ВРУ 5 (4)		01125821	2001	11.01 03:27	00042088	42088	****	****	****	****	****	****	****	****	1015
70	3	пр.Шахтеров-99	99	00591813	2001	10.01 18:51	00005206	5206	****	****	****	****	****	****	****	****	1015
71	5	Шахтеров,99	99	01125897	2002	11.01 03:53	00047063	47063	****	****	****	****	****	****	****	****	1015
72	5	Шахтеров 97  Щит.Магазин Ввод 1 (5)		0591557	2002	11.01 03:53	00047063	47063	****	****	****	****	****	****	****	****	1015
73	8	Шахтеров,99	99	01045424	2002	11.01 03:59	00000035	35	****	****	****	****	****	****	****	****	1015
74	604	ул.Радищева-16	16	06295231	2002	11.01 00:56	00007991	7991	****	****	****	****	****	****	****	****	102
75	771	9-я Цветочная	7	07930691	2002	11.01 00:57	00009552	9552	****	****	****	****	****	****	****	****	102
76	140	ул.Авроры-15	15	06298414	2001	****	****	0	****	****	****	****	****	****	****	****	1021
77	43	пр.Советский-45	45	13164550	2003	11.01 02:02	00001798	1798	****	****	****	****	****	****	****	****	103
78	298	пр.Советский-47	47	03372553	2003	11.01 01:57	00002591	2591	****	****	****	****	****	****	****	****	103
79	315	Кирова	26	03372628	2003	11.01 01:54	00011963	11963	****	****	****	****	****	****	****	****	103
80	1	ул. Ноградская	16	18845742	2001	11.01 01:52	00009694	9694	****	****	****	****	****	****	****	****	103
81	311	ул.Ноградская-16	16	03372815	2002	11.01 01:59	00003598	3598	****	****	****	****	****	****	****	****	103
82	9	Авроры 14  Ввод 1 УК"Кедровская" (9)		01126020	2003	10.01 22:41	00007423	7423	****	****	****	****	****	****	****	****	1030
83	1	ул.Авроры,14	14	00615724	2001	11.01 01:55	00011940	11940	****	****	****	****	****	****	****	****	1030
84	2	ул.Авроры,14	14	00621955	2001	11.01 01:55	00004340	4340	****	****	****	****	****	****	****	****	1030
85	3	ул.Авроры,14	14	00615722	2001	11.01 01:58	00011364	11364	****	****	****	****	****	****	****	****	1030
86	4	ул.Авроры,14	14	00621923	2001	11.01 01:56	00004927	4927	****	****	****	****	****	****	****	****	1030
87	5	ул.Авроры,14	14	00621931	2001	11.01 01:57	00013403	13403	****	****	****	****	****	****	****	****	1030
88	16	пр.Шахтеров 109	109	01877112	2001	11.01 01:55	00003432	3432	****	****	****	****	****	****	****	****	1030
89	19	пр.Шахтеров 109	109	01776474	2001	11.01 01:56	00001791	1791	****	****	****	****	****	****	****	****	1030
90	22	пр.Шахтеров 109	109	01876915	2001	11.01 01:55	00006612	6612	****	****	****	****	****	****	****	****	1030
91	23	пр.Шахтеров 109	109	01184606	2001	11.01 01:55	00032208	32208	****	****	****	****	****	****	****	****	1030
92	416	Шахтеров	109	04410238	2001	11.01 02:08	00051737	51737	****	****	****	****	****	****	****	****	1030
93	6	ул.Авроры,14	14	00621917	2001	11.01 01:55	00010080	10080	****	****	****	****	****	****	****	****	1030
94	7	ул.Авроры,14	14	00691816	2001	11.01 01:58	00012412	12412	****	****	****	****	****	****	****	****	1030
